***********************************************
* GCTB 1.91                                   *
* Genome-wide Complex Trait Bayesian analysis *
* Author: Jian Zeng, Luke Lloyd-Jones         *
* MIT License                                 *
***********************************************

Analysis started: Tue Feb  5 10:20:03 2019

Options:

--sbayes R
--ldm ../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse
--pi 0.95,0.02,0.02,0.01
--gamma 0.0,0.01,0.1,1
--gwas-summary ../../ma/sim_18.ma
--out sim_18
--chain-length 10000
--burn-in 2000
--out-freq 10

Reading SNP info from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.info].
15919 SNPs to be included from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.info].
Reading GWAS summary data from [../../ma/sim_18.ma].
15919 matched SNPs in the GWAS summary data (in total 15938 SNPs).
15919 SNPs on 1 chromosomes are included.
Reading sparse LD matrix from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.bin]...
Per-SNP window size mean 4796.67 sd 1.48613e+06.
LD matrix diagnal mean 1.00391 sd 0.0523117.
Read LD matrix for 15919 SNPs (time used: 0:0:2).

Data summary:
                                             mean       sd
            GWAS SNP Phenotypic variance    1.002    0.052
                    GWAS SNP sample size      378        0
                         GWAS SNP effect   -0.000    0.111
                             GWAS SNP SE    0.106    0.049
            MME left-hand-side diagonals  379.478   19.774
                     MME right-hand-side    0.522   18.754
                    LD sampling variance    1.298    0.076
                                LD score   17.359   15.140

Approximate BayesR model fitted.
scale factor: 6.2818e-05
Fitting model assuming scaled genotypes 
MCMC launched ...
  Chain length: 10000 iterations
  Burn-in: 2000 iterations

   Iter         Pi1          Pi2          Pi3          Pi4        NnzSnp       SigmaSq      ResVar       GenVar         hsq       Rounding     TimeLeft  
    10        0.9543       0.0146       0.0203       0.0107         747        0.0001       0.9877       0.0232       0.0229       0.0000        0:0:0   
    20        0.9723       0.0066       0.0150       0.0061         470        0.0001       1.0551       0.0085       0.0080       0.0000        0:0:0   
    30        0.9697       0.0066       0.0148       0.0090         478        0.0000       1.0155       0.0077       0.0075       0.0000        0:0:0   
    40        0.9719       0.0060       0.0140       0.0080         450        0.0000       0.9777       0.0031       0.0032       0.0000        0:0:0   
    50        0.9691       0.0050       0.0165       0.0094         462        0.0000       1.1018       0.0045       0.0040       0.0000       0:3:19   
    60        0.9659       0.0020       0.0215       0.0107         572        0.0000       0.9662       0.0051       0.0052       0.0000       0:2:45   
    70        0.9608       0.0031       0.0281       0.0080         622        0.0000       1.0028       0.0044       0.0044       0.0000       0:2:21   
    80        0.9583       0.0023       0.0312       0.0083         609        0.0000       0.9861       0.0069       0.0069       0.0000        0:2:4   
    90        0.9601       0.0036       0.0329       0.0034         639        0.0001       0.8573       0.0062       0.0071       0.0000       0:1:50   
    100       0.9699       0.0016       0.0253       0.0032         513        0.0001       0.9898       0.0055       0.0055       0.0000       0:3:18   
    110       0.9693       0.0032       0.0253       0.0022         493        0.0000       1.1476       0.0026       0.0023       0.0000       0:2:59   
    120       0.9674       0.0043       0.0236       0.0047         537        0.0000       1.0163       0.0045       0.0044       0.0000       0:2:44   
    130       0.9753       0.0032       0.0167       0.0047         397        0.0000       0.9898       0.0039       0.0039       0.0000       0:2:31   
    140       0.9734       0.0025       0.0199       0.0042         415        0.0000       0.9461       0.0040       0.0042       0.0000       0:2:20   
    150       0.9759       0.0017       0.0155       0.0069         388        0.0001       1.1171       0.0076       0.0068       0.0000       0:2:11   
    160       0.9651       0.0032       0.0234       0.0082         542        0.0001       0.9858       0.0100       0.0100       0.0000        0:2:3   
    170       0.9679       0.0025       0.0187       0.0109         519        0.0000       1.0927       0.0083       0.0076       0.0000       0:2:53   
    180       0.9695       0.0025       0.0211       0.0069         477        0.0001       1.0214       0.0071       0.0069       0.0000       0:2:43   
    190       0.9699       0.0038       0.0210       0.0052         494        0.0000       1.0242       0.0043       0.0041       0.0000       0:2:34   
    200       0.9711       0.0064       0.0151       0.0074         451        0.0000       0.9542       0.0050       0.0052       0.0000       0:2:27   
    210       0.9655       0.0036       0.0201       0.0108         518        0.0000       0.9528       0.0076       0.0079       0.0000       0:2:19   
    220       0.9709       0.0047       0.0146       0.0098         448        0.0001       0.8806       0.0111       0.0125       0.0000       0:2:13   
    230       0.9697       0.0035       0.0150       0.0118         455        0.0000       0.9553       0.0097       0.0100       0.0000        0:2:7   
    240       0.9684       0.0102       0.0143       0.0072         512        0.0001       0.9114       0.0066       0.0072       0.0000       0:2:42   
    250       0.9715       0.0103       0.0098       0.0084         462        0.0000       1.0577       0.0061       0.0057       0.0000       0:2:36   
    260       0.9702       0.0079       0.0136       0.0084         461        0.0000       0.9987       0.0034       0.0034       0.0000       0:2:29   
    270       0.9743       0.0009       0.0168       0.0080         420        0.0000       1.0593       0.0049       0.0046       0.0000       0:2:24   
    280       0.9809       0.0018       0.0116       0.0057         291        0.0000       1.0259       0.0028       0.0027       0.0000       0:2:18   
    290       0.9822       0.0056       0.0060       0.0062         270        0.0000       0.9161       0.0038       0.0042       0.0000       0:2:13   
    300       0.9770       0.0112       0.0058       0.0060         361        0.0001       1.1584       0.0054       0.0046       0.0000        0:2:9   
    310       0.9754       0.0109       0.0085       0.0051         409        0.0001       0.9821       0.0128       0.0129       0.0000        0:2:5   
    320       0.9656       0.0122       0.0155       0.0068         536        0.0001       1.0093       0.0117       0.0115       0.0000       0:2:31   
    330       0.9752       0.0103       0.0111       0.0034         392        0.0001       0.8882       0.0089       0.0099       0.0000       0:2:26   
    340       0.9753       0.0106       0.0117       0.0023         439        0.0001       0.9271       0.0048       0.0052       0.0000       0:2:22   
    350       0.9779       0.0071       0.0110       0.0041         378        0.0001       0.9955       0.0112       0.0111       0.0000       0:2:17   
    360       0.9783       0.0065       0.0131       0.0020         334        0.0001       0.9924       0.0068       0.0068       0.0000       0:2:13   
    370       0.9798       0.0045       0.0122       0.0035         305        0.0003       1.0555       0.0147       0.0137       0.0000       0:2:10   
    380       0.9780       0.0044       0.0100       0.0076         344        0.0002       1.0629       0.0291       0.0266       0.0000        0:2:6   
    390       0.9775       0.0069       0.0046       0.0110         379        0.0002       0.9496       0.0389       0.0394       0.0000        0:2:3   
    400       0.9812       0.0041       0.0046       0.0101         301        0.0001       1.1515       0.0228       0.0194       0.0000        0:2:0   
    410       0.9764       0.0103       0.0083       0.0050         360        0.0001       0.8977       0.0047       0.0052       0.0000       0:2:20   
    420       0.9830       0.0041       0.0071       0.0058         277        0.0001       1.0276       0.0112       0.0108       0.0000       0:2:16   
    430       0.9721       0.0073       0.0131       0.0074         423        0.0001       0.8798       0.0168       0.0187       0.0000       0:2:13   
    440       0.9834       0.0085       0.0060       0.0021         318        0.0001       0.9048       0.0029       0.0032       0.0000       0:2:10   
    450       0.9753       0.0162       0.0082       0.0003         368        0.0000       1.0676       0.0014       0.0013       0.0000        0:2:7   
    460       0.9756       0.0164       0.0078       0.0002         395        0.0001       0.9570       0.0017       0.0018       0.0000        0:2:4   
    470       0.9770       0.0123       0.0098       0.0009         375        0.0001       1.0126       0.0028       0.0028       0.0000        0:2:1   
    480       0.9702       0.0177       0.0106       0.0015         469        0.0001       1.0811       0.0043       0.0040       0.0000       0:1:59   
    490       0.9707       0.0140       0.0125       0.0028         484        0.0001       1.1167       0.0061       0.0055       0.0000       0:1:56   
    500       0.9678       0.0126       0.0131       0.0065         483        0.0001       1.1974       0.0081       0.0067       0.0000       0:1:54   
    510       0.9746       0.0094       0.0121       0.0039         418        0.0001       0.9683       0.0042       0.0044       0.0000       0:2:10   
    520       0.9783       0.0090       0.0113       0.0014         336        0.0000       1.0663       0.0020       0.0019       0.0000        0:2:7   
    530       0.9819       0.0079       0.0084       0.0018         297        0.0000       1.1252       0.0011       0.0010       0.0000        0:2:5   
    540       0.9794       0.0081       0.0092       0.0034         338        0.0001       0.9534       0.0037       0.0039       0.0000        0:2:2   
    550       0.9757       0.0058       0.0122       0.0063         391        0.0001       1.0470       0.0067       0.0064       0.0000        0:2:0   
    560       0.9799       0.0042       0.0105       0.0054         325        0.0000       0.9515       0.0049       0.0052       0.0000       0:1:58   
    570       0.9861       0.0041       0.0069       0.0030         212        0.0001       0.9284       0.0047       0.0050       0.0000       0:1:55   
    580       0.9791       0.0055       0.0141       0.0014         332        0.0001       0.9036       0.0031       0.0034       0.0000       0:1:53   
    590       0.9739       0.0071       0.0168       0.0022         423        0.0001       0.9567       0.0047       0.0049       0.0000       0:1:51   
    600       0.9756       0.0058       0.0154       0.0031         382        0.0001       0.9492       0.0054       0.0057       0.0000       0:1:49   
    610       0.9808       0.0043       0.0120       0.0029         287        0.0001       1.0861       0.0037       0.0034       0.0000        0:2:3   
    620       0.9779       0.0060       0.0125       0.0037         381        0.0001       0.9857       0.0051       0.0052       0.0000        0:2:1   
    630       0.9768       0.0072       0.0150       0.0009         390        0.0001       0.8597       0.0030       0.0035       0.0000       0:1:58   
    640       0.9750       0.0106       0.0129       0.0016         405        0.0001       1.0771       0.0032       0.0030       0.0000       0:1:57   
    650       0.9793       0.0106       0.0068       0.0033         338        0.0001       1.0178       0.0032       0.0032       0.0000       0:1:55   
    660       0.9766       0.0107       0.0098       0.0029         381        0.0001       0.9852       0.0049       0.0049       0.0000       0:1:53   
    670       0.9748       0.0146       0.0060       0.0046         394        0.0001       0.9910       0.0077       0.0077       0.0000       0:1:51   
    680       0.9768       0.0126       0.0042       0.0065         377        0.0001       1.0058       0.0074       0.0073       0.0000       0:1:49   
    690       0.9763       0.0133       0.0079       0.0024         405        0.0002       1.0944       0.0081       0.0074       0.0000        0:2:1   
    700       0.9753       0.0135       0.0070       0.0042         388        0.0002       1.0904       0.0180       0.0163       0.0000       0:1:59   
    710       0.9730       0.0128       0.0099       0.0043         430        0.0002       1.1019       0.0132       0.0118       0.0000       0:1:57   
    720       0.9741       0.0109       0.0093       0.0057         413        0.0002       0.9825       0.0142       0.0142       0.0000       0:1:56   
    730       0.9786       0.0089       0.0079       0.0046         345        0.0002       0.9432       0.0167       0.0174       0.0000       0:1:54   
    740       0.9725       0.0129       0.0108       0.0039         430        0.0003       1.0351       0.0193       0.0183       0.0000       0:1:52   
    750       0.9727       0.0124       0.0091       0.0058         435        0.0003       0.9798       0.0322       0.0319       0.0000       0:1:51   
    760       0.9664       0.0110       0.0159       0.0067         519        0.0003       0.9613       0.0353       0.0354       0.0000        0:2:1   
    770       0.9682       0.0108       0.0157       0.0054         509        0.0004       1.0350       0.0541       0.0496       0.0000       0:1:59   
    780       0.9698       0.0106       0.0164       0.0032         511        0.0003       0.8947       0.0240       0.0261       0.0000       0:1:58   
    790       0.9721       0.0064       0.0211       0.0003         476        0.0003       0.9945       0.0118       0.0117       0.0000       0:1:56   
    800       0.9701       0.0056       0.0239       0.0004         481        0.0002       1.0314       0.0109       0.0105       0.0000       0:1:55   
    810       0.9678       0.0054       0.0263       0.0004         512        0.0002       1.0442       0.0087       0.0082       0.0000       0:1:53   
    820       0.9706       0.0085       0.0195       0.0014         466        0.0002       1.0027       0.0104       0.0103       0.0000        0:2:3   
    830       0.9693       0.0141       0.0156       0.0010         471        0.0001       1.1171       0.0054       0.0048       0.0000        0:2:1   
    840       0.9642       0.0115       0.0238       0.0005         609        0.0001       1.0154       0.0046       0.0045       0.0000       0:1:59   
    850       0.9693       0.0084       0.0220       0.0002         479        0.0001       0.8452       0.0027       0.0032       0.0000       0:1:58   
    860       0.9602       0.0137       0.0254       0.0008         638        0.0001       0.9684       0.0038       0.0039       0.0000       0:1:56   
    870       0.9694       0.0108       0.0195       0.0004         511        0.0001       0.8868       0.0038       0.0042       0.0000       0:1:55   
    880       0.9687       0.0079       0.0222       0.0012         479        0.0001       1.0858       0.0047       0.0043       0.0000       0:1:54   
    890       0.9642       0.0066       0.0277       0.0015         563        0.0001       0.9587       0.0066       0.0068       0.0000       0:1:52   
    900       0.9697       0.0050       0.0248       0.0005         477        0.0001       1.0903       0.0061       0.0056       0.0000        0:2:1   
    910       0.9723       0.0038       0.0227       0.0012         466        0.0001       0.8839       0.0046       0.0052       0.0000       0:1:59   
    920       0.9705       0.0043       0.0251       0.0001         472        0.0001       0.9237       0.0020       0.0021       0.0000       0:1:58   
    930       0.9685       0.0080       0.0233       0.0002         530        0.0001       1.0009       0.0023       0.0022       0.0000       0:1:57   
