***********************************************
* GCTB 1.91                                   *
* Genome-wide Complex Trait Bayesian analysis *
* Author: Jian Zeng, Luke Lloyd-Jones         *
* MIT License                                 *
***********************************************

Analysis started: Tue Feb  5 09:06:53 2019

Options:

--sbayes R
--ldm ../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse
--pi 0.95,0.02,0.02,0.01
--gamma 0.0,0.01,0.1,1
--gwas-summary ../../ma/sim_4.ma
--out sim_4
--chain-length 10000
--burn-in 2000
--out-freq 10

Reading SNP info from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.info].
15919 SNPs to be included from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.info].
Reading GWAS summary data from [../../ma/sim_4.ma].
15919 matched SNPs in the GWAS summary data (in total 15938 SNPs).
15919 SNPs on 1 chromosomes are included.
Reading sparse LD matrix from [../../ldm/shrunk/chr22/1000G_eur_chr22.ldm.sparse.bin]...
Per-SNP window size mean 4796.67 sd 1.48613e+06.
LD matrix diagnal mean 1.00391 sd 0.0523117.
Read LD matrix for 15919 SNPs (time used: 0:0:2).

Data summary:
                                             mean       sd
            GWAS SNP Phenotypic variance    1.002    0.052
                    GWAS SNP sample size      378        0
                         GWAS SNP effect   -0.000    0.119
                             GWAS SNP SE    0.106    0.049
            MME left-hand-side diagonals  379.478   19.774
                     MME right-hand-side   -0.159   19.976
                    LD sampling variance    1.298    0.076
                                LD score   17.359   15.140

Approximate BayesR model fitted.
scale factor: 6.2818e-05
Fitting model assuming scaled genotypes 
MCMC launched ...
  Chain length: 10000 iterations
  Burn-in: 2000 iterations

   Iter         Pi1          Pi2          Pi3          Pi4        NnzSnp       SigmaSq      ResVar       GenVar         hsq       Rounding     TimeLeft  
    10        0.9472       0.0211       0.0189       0.0128         807        0.0001       0.9176       0.0311       0.0328       0.0000        0:0:0   
    20        0.9485       0.0241       0.0164       0.0110         798        0.0001       0.9730       0.0318       0.0317       0.0000        0:0:0   
    30        0.9482       0.0210       0.0215       0.0093         813        0.0001       0.9254       0.0293       0.0307       0.0000       0:5:32   
    40        0.9420       0.0238       0.0212       0.0130         931        0.0001       1.0063       0.0192       0.0187       0.0000        0:4:9   
    50        0.9476       0.0220       0.0141       0.0163         831        0.0001       1.0868       0.0338       0.0302       0.0000       0:3:19   
    60        0.9510       0.0214       0.0134       0.0142         782        0.0001       0.8876       0.0317       0.0345       0.0000       0:2:45   
    70        0.9621       0.0147       0.0128       0.0104         607        0.0001       1.0411       0.0220       0.0207       0.0000       0:2:21   
    80        0.9631       0.0112       0.0139       0.0119         579        0.0001       0.9240       0.0185       0.0196       0.0000        0:2:4   
    90        0.9550       0.0080       0.0188       0.0181         661        0.0001       1.0866       0.0347       0.0310       0.0000       0:1:50   
    100       0.9552       0.0057       0.0166       0.0224         699        0.0001       1.0016       0.0360       0.0347       0.0000       0:3:18   
    110       0.9609       0.0101       0.0131       0.0159         595        0.0001       0.9815       0.0324       0.0320       0.0000       0:2:59   
    120       0.9621       0.0090       0.0121       0.0169         617        0.0001       0.9205       0.0338       0.0354       0.0000       0:2:44   
    130       0.9671       0.0050       0.0122       0.0156         557        0.0001       1.0162       0.0261       0.0250       0.0000       0:2:31   
    140       0.9576       0.0112       0.0103       0.0209         634        0.0001       1.0802       0.0352       0.0316       0.0000       0:2:20   
    150       0.9575       0.0129       0.0075       0.0222         714        0.0001       1.0376       0.0314       0.0293       0.0000       0:2:11   
    160       0.9491       0.0128       0.0073       0.0308         833        0.0001       1.0046       0.0543       0.0513       0.0000        0:3:4   
    170       0.9537       0.0108       0.0114       0.0241         763        0.0001       0.8891       0.0232       0.0254       0.0000       0:2:53   
    180       0.9455       0.0193       0.0115       0.0237         853        0.0001       0.9337       0.0218       0.0228       0.0000       0:2:43   
    190       0.9339       0.0235       0.0148       0.0278        1024        0.0000       0.9160       0.0215       0.0229       0.0000       0:2:34   
    200       0.9386       0.0215       0.0109       0.0290         992        0.0001       0.9503       0.0259       0.0265       0.0000       0:2:27   
    210       0.9436       0.0211       0.0105       0.0249         878        0.0000       1.2228       0.0164       0.0132       0.0000        0:3:6   
    220       0.9410       0.0252       0.0110       0.0229         961        0.0000       1.0124       0.0158       0.0153       0.0000       0:2:57   
    230       0.9453       0.0259       0.0088       0.0200         898        0.0001       1.0212       0.0186       0.0179       0.0000       0:2:49   
    240       0.9505       0.0237       0.0124       0.0134         848        0.0000       1.0356       0.0078       0.0075       0.0000       0:2:42   
    250       0.9599       0.0141       0.0179       0.0081         609        0.0000       0.8635       0.0049       0.0056       0.0000       0:3:15   
    260       0.9561       0.0101       0.0273       0.0065         713        0.0000       1.0871       0.0064       0.0059       0.0000        0:3:7   
    270       0.9508       0.0119       0.0290       0.0083         737        0.0000       1.0357       0.0051       0.0049       0.0000        0:3:0   
    280       0.9671       0.0071       0.0202       0.0056         535        0.0000       1.0084       0.0052       0.0051       0.0000       0:2:53   
    290       0.9744       0.0052       0.0168       0.0036         414        0.0000       1.1816       0.0027       0.0023       0.0000       0:2:47   
    300       0.9704       0.0031       0.0209       0.0056         483        0.0000       0.9870       0.0039       0.0039       0.0000       0:2:41   
    310       0.9716       0.0081       0.0133       0.0070         465        0.0000       1.0784       0.0041       0.0038       0.0000        0:3:7   
    320       0.9674       0.0079       0.0202       0.0044         508        0.0000       1.0003       0.0039       0.0039       0.0000        0:3:1   
    330       0.9725       0.0062       0.0178       0.0035         406        0.0000       0.9369       0.0023       0.0024       0.0000       0:2:55   
    340       0.9768       0.0059       0.0134       0.0040         400        0.0000       0.9497       0.0019       0.0019       0.0000       0:2:50   
    350       0.9729       0.0069       0.0159       0.0042         415        0.0000       1.0573       0.0037       0.0035       0.0000       0:2:45   
    360       0.9718       0.0084       0.0167       0.0031         462        0.0001       1.2071       0.0042       0.0034       0.0000       0:2:40   
    370       0.9729       0.0106       0.0155       0.0011         414        0.0001       0.9784       0.0034       0.0035       0.0000       0:2:36   
    380       0.9664       0.0082       0.0237       0.0016         512        0.0001       1.0387       0.0038       0.0036       0.0000       0:2:31   
    390       0.9690       0.0072       0.0217       0.0021         515        0.0001       0.9899       0.0040       0.0040       0.0000       0:2:27   
    400       0.9728       0.0030       0.0209       0.0033         402        0.0001       1.0218       0.0046       0.0045       0.0000       0:2:24   
    410       0.9665       0.0056       0.0253       0.0026         547        0.0001       1.0124       0.0051       0.0050       0.0000       0:2:43   
    420       0.9693       0.0061       0.0202       0.0045         506        0.0001       0.9329       0.0059       0.0063       0.0000       0:2:39   
    430       0.9670       0.0065       0.0209       0.0056         538        0.0000       1.0941       0.0043       0.0040       0.0000       0:2:35   
    440       0.9705       0.0062       0.0210       0.0023         475        0.0000       0.9149       0.0030       0.0033       0.0000       0:2:32   
    450       0.9614       0.0090       0.0294       0.0003         614        0.0001       0.9264       0.0030       0.0032       0.0000       0:2:28   
    460       0.9636       0.0047       0.0312       0.0005         563        0.0001       1.0067       0.0034       0.0033       0.0000       0:2:25   
    470       0.9594       0.0038       0.0367       0.0001         633        0.0001       1.0702       0.0040       0.0038       0.0000       0:2:21   
    480       0.9466       0.0072       0.0461       0.0002         839        0.0000       0.9245       0.0037       0.0040       0.0000       0:2:18   
    490       0.9407       0.0057       0.0520       0.0015         932        0.0001       0.9058       0.0082       0.0090       0.0000       0:2:35   
    500       0.9440       0.0022       0.0487       0.0051         862        0.0001       0.9896       0.0138       0.0138       0.0000       0:2:32   
    510       0.9442       0.0039       0.0474       0.0045         886        0.0001       0.8984       0.0103       0.0113       0.0000       0:2:28   
    520       0.9427       0.0068       0.0490       0.0015         864        0.0001       1.0040       0.0071       0.0070       0.0000       0:2:25   
    530       0.9415       0.0022       0.0545       0.0017         979        0.0001       0.9563       0.0075       0.0077       0.0000       0:2:22   
    540       0.9331       0.0004       0.0607       0.0058        1013        0.0001       1.1516       0.0088       0.0076       0.0000       0:2:20   
    550       0.9353       0.0003       0.0573       0.0071        1022        0.0000       0.9616       0.0091       0.0093       0.0000       0:2:17   
    560       0.9255       0.0000       0.0696       0.0049        1239        0.0001       0.9895       0.0113       0.0113       0.0000       0:2:14   
    570       0.9228       0.0003       0.0736       0.0033        1209        0.0001       1.0782       0.0078       0.0072       0.0000       0:2:28   
    580       0.9244       0.0001       0.0704       0.0050        1205        0.0000       0.8765       0.0090       0.0102       0.0000       0:2:26   
    590       0.9266       0.0011       0.0640       0.0083        1176        0.0000       1.0478       0.0090       0.0086       0.0000       0:2:23   
    600       0.9447       0.0011       0.0481       0.0060         902        0.0001       0.9195       0.0068       0.0073       0.0000       0:2:21   
    610       0.9457       0.0001       0.0502       0.0040         863        0.0001       1.0288       0.0072       0.0070       0.0001       0:2:18   
    620       0.9409       0.0005       0.0555       0.0030         933        0.0001       0.9797       0.0075       0.0076       0.0001       0:2:16   
    630       0.9504       0.0006       0.0472       0.0018         798        0.0001       1.0521       0.0055       0.0052       0.0001       0:2:13   
    640       0.9513       0.0021       0.0454       0.0012         793        0.0001       1.0089       0.0059       0.0058       0.0001       0:2:26   
    650       0.9404       0.0033       0.0525       0.0039         937        0.0001       0.9504       0.0086       0.0090       0.0001       0:2:23   
    660       0.9403       0.0064       0.0480       0.0053         953        0.0001       0.9980       0.0113       0.0112       0.0001       0:2:21   
    670       0.9315       0.0061       0.0573       0.0052        1081        0.0001       1.0097       0.0091       0.0089       0.0001       0:2:19   
    680       0.9273       0.0051       0.0597       0.0079        1225        0.0001       1.0854       0.0177       0.0161       0.0001       0:2:17   
    690       0.9151       0.0077       0.0713       0.0060        1350        0.0001       0.9708       0.0114       0.0116       0.0001       0:2:14   
    700       0.9106       0.0102       0.0741       0.0052        1432        0.0000       0.8699       0.0103       0.0117       0.0001       0:2:26   
