***********************************************
* GCTB 1.91                                   *
* Genome-wide Complex Trait Bayesian analysis *
* Author: Jian Zeng, Luke Lloyd-Jones         *
* MIT License                                 *
***********************************************

Analysis started: Mon Feb  4 16:38:15 2019

Options:

--sbayes R
--ldm ../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse
--pi 0.95,0.02,0.02,0.01
--gamma 0.0,0.01,0.1,1
--gwas-summary ../../ma/sim_14.ma
--out sim_14
--chain-length 10000
--burn-in 2000
--out-freq 10

Reading SNP info from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.info].
15938 SNPs to be included from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.info].
Reading GWAS summary data from [../../ma/sim_14.ma].
15938 matched SNPs in the GWAS summary data (in total 15938 SNPs).
15938 SNPs on 1 chromosomes are included.
Reading sparse LD matrix from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.bin]...
Per-SNP window size mean 119.364 sd 5034.64.
LD matrix diagnal mean 1.0033 sd 0.052366.
Read LD matrix for 15938 SNPs (time used: 0:0:0).

Data summary:
                                             mean       sd
            GWAS SNP Phenotypic variance    1.002    0.052
                    GWAS SNP sample size      378        0
                         GWAS SNP effect    0.000    0.116
                             GWAS SNP SE    0.106    0.049
            MME left-hand-side diagonals  379.247   19.794
                     MME right-hand-side   -0.166   19.293
                    LD sampling variance    1.004    0.002
                                LD score   18.234   15.565

Approximate BayesR model fitted.
scale factor: 6.27431e-05
Fitting model assuming scaled genotypes 
MCMC launched ...
  Chain length: 10000 iterations
  Burn-in: 2000 iterations

   Iter         Pi1          Pi2          Pi3          Pi4        NnzSnp       SigmaSq      ResVar       GenVar         hsq       Rounding     TimeLeft  
    10        0.9488       0.0197       0.0223       0.0091         790        0.0001       1.0667       0.0174       0.0161       0.0000        0:0:0   
    20        0.9504       0.0141       0.0276       0.0078         794        0.0001       1.0296       0.0149       0.0143       0.0000        0:0:0   
    30        0.9576       0.0129       0.0203       0.0092         686        0.0001       0.9274       0.0128       0.0137       0.0000        0:0:0   
    40        0.9548       0.0152       0.0175       0.0125         676        0.0001       0.9562       0.0131       0.0135       0.0000        0:0:0   
    50        0.9535       0.0169       0.0130       0.0165         739        0.0001       0.9240       0.0244       0.0257       0.0000        0:0:0   
    60        0.9528       0.0172       0.0154       0.0145         772        0.0002       0.9561       0.0397       0.0399       0.0000        0:0:0   
    70        0.9442       0.0185       0.0211       0.0162         885        0.0001       1.0671       0.0335       0.0304       0.0000        0:0:0   
    80        0.9315       0.0264       0.0280       0.0140        1118        0.0001       1.0769       0.0359       0.0322       0.0000        0:0:0   
    90        0.9270       0.0304       0.0265       0.0161        1193        0.0001       0.9068       0.0392       0.0414       0.0000        0:0:0   
    100       0.9433       0.0199       0.0180       0.0188         944        0.0001       1.0705       0.0370       0.0334       0.0000        0:0:0   
    110       0.9455       0.0185       0.0239       0.0121         807        0.0001       0.8678       0.0237       0.0266       0.0000       0:1:29   
    120       0.9490       0.0206       0.0164       0.0141         853        0.0001       0.9442       0.0218       0.0226       0.0000       0:1:22   
    130       0.9537       0.0201       0.0089       0.0174         743        0.0001       0.9456       0.0232       0.0240       0.0000       0:1:15   
    140       0.9514       0.0156       0.0130       0.0200         736        0.0001       0.9944       0.0259       0.0253       0.0000       0:1:10   
    150       0.9463       0.0217       0.0110       0.0210         885        0.0001       0.9320       0.0197       0.0207       0.0000        0:1:5   
    160       0.9306       0.0252       0.0088       0.0354        1117        0.0000       0.8021       0.0211       0.0257       0.0000        0:1:1   
    170       0.9346       0.0241       0.0081       0.0332        1042        0.0000       0.9259       0.0206       0.0218       0.0000       0:0:57   
    180       0.9346       0.0236       0.0121       0.0296        1039        0.0000       1.0481       0.0177       0.0166       0.0000       0:0:54   
    190       0.9231       0.0248       0.0173       0.0349        1165        0.0000       1.0877       0.0191       0.0173       0.0000       0:0:51   
    200       0.9327       0.0238       0.0169       0.0266        1101        0.0000       1.0221       0.0192       0.0184       0.0000       0:0:49   
    210       0.9438       0.0247       0.0109       0.0207         913        0.0000       0.9681       0.0134       0.0137       0.0000       0:0:46   
    220       0.9525       0.0233       0.0057       0.0185         767        0.0000       0.9627       0.0104       0.0107       0.0000       0:0:44   
    230       0.9595       0.0209       0.0071       0.0125         652        0.0000       0.9675       0.0052       0.0053       0.0000       0:0:42   
