***********************************************
* GCTB 1.91                                   *
* Genome-wide Complex Trait Bayesian analysis *
* Author: Jian Zeng, Luke Lloyd-Jones         *
* MIT License                                 *
***********************************************

Analysis started: Mon Feb  4 16:30:03 2019

Options:

--sbayes R
--ldm ../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse
--pi 0.95,0.02,0.02,0.01
--gamma 0.0,0.01,0.1,1
--gwas-summary ../../ma/sim_4.ma
--out sim_4
--chain-length 10000
--burn-in 2000
--out-freq 10

Reading SNP info from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.info].
15938 SNPs to be included from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.info].
Reading GWAS summary data from [../../ma/sim_4.ma].
15938 matched SNPs in the GWAS summary data (in total 15938 SNPs).
15938 SNPs on 1 chromosomes are included.
Reading sparse LD matrix from [../../ldm/sparse/chr22/1000G_eur_chr22.ldm.sparse.bin]...
Per-SNP window size mean 119.364 sd 5034.64.
LD matrix diagnal mean 1.0033 sd 0.052366.
Read LD matrix for 15938 SNPs (time used: 0:0:0).

Data summary:
                                             mean       sd
            GWAS SNP Phenotypic variance    1.002    0.052
                    GWAS SNP sample size      378        0
                         GWAS SNP effect   -0.000    0.119
                             GWAS SNP SE    0.106    0.049
            MME left-hand-side diagonals  379.247   19.794
                     MME right-hand-side   -0.160   19.958
                    LD sampling variance    1.004    0.002
                                LD score   18.234   15.565

Approximate BayesR model fitted.
scale factor: 6.27431e-05
Fitting model assuming scaled genotypes 
MCMC launched ...
  Chain length: 10000 iterations
  Burn-in: 2000 iterations

   Iter         Pi1          Pi2          Pi3          Pi4        NnzSnp       SigmaSq      ResVar       GenVar         hsq       Rounding     TimeLeft  
    10        0.9482       0.0176       0.0221       0.0121         825        0.0001       0.8949       0.0338       0.0364       0.0000        0:0:0   
    20        0.9494       0.0155       0.0208       0.0142         811        0.0001       0.9403       0.0318       0.0327       0.0000        0:0:0   
    30        0.9610       0.0133       0.0189       0.0068         663        0.0001       1.0351       0.0242       0.0228       0.0000       0:5:32   
    40        0.9683       0.0107       0.0180       0.0030         518        0.0001       0.9205       0.0100       0.0107       0.0000        0:4:9   
    50        0.9685       0.0105       0.0197       0.0013         472        0.0002       0.9386       0.0063       0.0067       0.0000       0:3:19   
    60        0.9746       0.0123       0.0107       0.0024         436        0.0002       0.9550       0.0145       0.0149       0.0000       0:2:45   
    70        0.9701       0.0216       0.0068       0.0015         456        0.0002       0.8332       0.0079       0.0093       0.0000       0:2:21   
    80        0.9806       0.0136       0.0039       0.0019         332        0.0003       0.8681       0.0150       0.0170       0.0000        0:2:4   
    90        0.9794       0.0119       0.0044       0.0043         312        0.0003       1.0730       0.0241       0.0219       0.0000       0:1:50   
    100       0.9806       0.0098       0.0040       0.0056         337        0.0003       0.9783       0.0282       0.0280       0.0000       0:1:39   
    110       0.9827       0.0089       0.0047       0.0037         316        0.0003       0.9890       0.0222       0.0220       0.0000       0:1:29   
    120       0.9802       0.0116       0.0050       0.0032         303        0.0002       1.0187       0.0120       0.0116       0.0000       0:1:22   
    130       0.9832       0.0118       0.0025       0.0026         260        0.0001       1.0616       0.0072       0.0067       0.0000       0:1:15   
    140       0.9836       0.0138       0.0009       0.0017         253        0.0002       1.0000       0.0063       0.0062       0.0000       0:1:10   
    150       0.9859       0.0104       0.0035       0.0001         231        0.0002       1.0423       0.0027       0.0026       0.0000        0:1:5   
    160       0.9861       0.0088       0.0046       0.0005         242        0.0001       1.0318       0.0019       0.0018       0.0000        0:1:1   
    170       0.9855       0.0039       0.0087       0.0019         220        0.0001       0.9897       0.0040       0.0040       0.0000       0:0:57   
    180       0.9867       0.0043       0.0062       0.0029         229        0.0000       1.0396       0.0022       0.0021       0.0000       0:0:54   
    190       0.9869       0.0064       0.0059       0.0009         184        0.0000       1.0896       0.0010       0.0009       0.0000       0:0:51   
    200       0.9844       0.0052       0.0094       0.0010         210        0.0001       0.9299       0.0011       0.0012       0.0000       0:0:49   
    210       0.9799       0.0035       0.0162       0.0004         310        0.0001       0.9868       0.0029       0.0029       0.0000       0:0:46   
    220       0.9813       0.0088       0.0091       0.0008         268        0.0000       1.0904       0.0012       0.0011       0.0000       0:0:44   
    230       0.9836       0.0071       0.0092       0.0002         262        0.0000       0.9697       0.0009       0.0010       0.0000       0:0:42   
    240       0.9872       0.0034       0.0094       0.0000         217        0.0000       0.8918       0.0008       0.0009       0.0000       0:1:21   
    250       0.9878       0.0047       0.0074       0.0001         207        0.0000       0.9314       0.0008       0.0009       0.0000       0:1:18   
    260       0.9880       0.0048       0.0066       0.0005         190        0.0000       0.9947       0.0005       0.0005       0.0000       0:1:14   
    270       0.9845       0.0058       0.0092       0.0004         279        0.0000       1.2613       0.0005       0.0004       0.0000       0:1:12   
    280       0.9888       0.0054       0.0028       0.0030         190        0.0001       0.9138       0.0040       0.0043       0.0000        0:1:9   
